,id,truth_scaled,prediction0,avg_prediction_scaled,prediction,truth
0,2678,0.38100266,0.37142357,0.37142357,0.37142357,0.38100266
1,3919,0.24739255,0.1930643,0.1930643,0.1930643,0.24739255
2,828,0.5450841,0.33830637,0.33830637,0.33830637,0.5450841
3,10972,0.16809356,0.18904212,0.18904212,0.18904212,0.16809356
4,15974,0.4045518,0.3530944,0.3530944,0.3530944,0.4045518
5,4688,0.22146304,0.14650741,0.14650741,0.14650741,0.22146304
6,102,0.20137325,0.1617819,0.1617819,0.1617819,0.20137325
7,6921,0.6623417,0.43134543,0.43134543,0.43134543,0.6623417
8,3383,0.39637616,0.25565583,0.25565583,0.25565583,0.39637616
9,2935,0.5112077,0.4652512,0.4652512,0.4652512,0.5112077
10,7704,0.2650437,0.27305,0.27305,0.27305,0.2650437
11,1453,0.29742172,0.15794075,0.15794075,0.15794075,0.29742172
12,5168,0.5964593,0.4252682,0.4252682,0.4252682,0.5964593
13,9657,0.4059807,0.41405746,0.41405746,0.41405746,0.4059807
14,11501,0.50249803,0.45646837,0.45646837,0.45646837,0.50249803
15,13010,0.7753478,0.49612337,0.49612337,0.49612337,0.7753478
16,5692,0.19435707,0.1710824,0.1710824,0.1710824,0.19435707
17,3043,0.5021493,0.46430704,0.46430704,0.46430704,0.5021493
18,12885,0.19350755,0.17798916,0.17798916,0.17798916,0.19350755
19,13548,0.5326389,0.40033692,0.40033692,0.40033692,0.5326389
20,14635,0.20076787,0.15073879,0.15073879,0.15073879,0.20076787
21,5786,0.23719642,0.16750582,0.16750582,0.16750582,0.23719642
22,3425,0.5022165,0.22550377,0.22550377,0.22550377,0.5022165
23,14911,0.39011458,0.20591995,0.20591995,0.20591995,0.39011458
24,7921,0.9680749,0.47516483,0.47516483,0.47516483,0.9680749
25,8585,0.7098354,0.45724535,0.45724535,0.45724535,0.7098354
26,15038,0.40096185,0.37833565,0.37833565,0.37833565,0.40096185
27,3616,0.16608296,0.17487669,0.17487669,0.17487669,0.16608296
28,2676,0.16703689,0.17945215,0.17945215,0.17945215,0.16703689
29,12682,0.9112518,0.42642614,0.42642614,0.42642614,0.9112518
30,2948,0.4104723,0.43581745,0.43581745,0.43581745,0.4104723
31,11790,0.22813159,0.2085256,0.2085256,0.2085256,0.22813159
32,14954,0.24166507,0.23899564,0.23899564,0.23899564,0.24166507
33,6367,0.508972,0.4702555,0.4702555,0.4702555,0.508972
34,9997,0.68062645,0.6044409,0.6044409,0.6044409,0.68062645
35,8485,0.34197658,0.25454217,0.25454217,0.25454217,0.34197658
36,14778,0.4228074,0.33678252,0.33678252,0.33678252,0.4228074
37,14041,0.17017716,0.18593541,0.18593541,0.18593541,0.17017716
38,6529,0.60363424,0.40928152,0.40928152,0.40928152,0.60363424
39,11518,0.18427037,0.13153747,0.13153747,0.13153747,0.18427037
40,12227,0.5520932,0.41724777,0.41724777,0.41724777,0.5520932
41,2861,0.2911605,0.2503925,0.2503925,0.2503925,0.2911605
42,6339,0.45375168,0.45516855,0.45516855,0.45516855,0.45375168
43,7584,0.4160852,0.37672895,0.37672895,0.37672895,0.4160852
44,2932,0.56911856,0.40689373,0.40689373,0.40689373,0.56911856
45,9862,0.17901166,0.15193121,0.15193121,0.15193121,0.17901166
46,4375,0.46505237,0.30342746,0.30342746,0.30342746,0.46505237
47,11930,0.23710112,0.1642395,0.1642395,0.1642395,0.23710112
48,11281,0.25826165,0.19307986,0.19307986,0.19307986,0.25826165
49,6333,0.395019,0.31587416,0.31587416,0.31587416,0.395019
50,12959,0.6961884,0.42023772,0.42023772,0.42023772,0.6961884
51,14102,0.70203394,0.4504435,0.4504435,0.4504435,0.70203394
