,ids,truth,pred
0,2678,0.3810026700046451,0.5642143121139531
1,3919,0.2473925565691684,0.24878463066229475
2,828,0.5450841109029896,0.6311769478806589
3,10972,0.1680935643615466,0.7478058054368287
4,15974,0.4045518044193343,0.4924062718854155
5,4688,0.2214630401481435,0.24401437168819465
6,102,0.2013732508123676,0.5320490454041853
7,6921,0.6623417135574562,0.7059608436526794
8,3383,0.3963761685670046,0.3939915835906766
9,2935,0.5112077139318543,0.56395000175786
10,7704,0.2650437186683096,0.5058081470540147
11,1453,0.2974217327186704,0.253461046498632
12,5168,0.5964593469701067,0.8793986575830938
13,9657,0.4059806975161222,0.7018042720474955
14,11501,0.5024980362334286,0.7666838490730954
15,13010,0.7753478089685492,0.8154265617471161
16,5692,0.1943570626874081,0.42056452474030737
17,3043,0.5021492592138287,0.8112008371145436
18,12885,0.1935075474988097,0.29536148045558164
19,13548,0.5326388832978869,0.6931396363341008
20,14635,0.2007678808914096,0.22754548432847294
21,5786,0.2371964107717675,0.38825865108822827
22,3425,0.5022165030790452,0.5581396444597116
23,14911,0.3901145804890674,0.4003439188513862
24,7921,0.9680748921743592,0.6963932472126048
25,8585,0.7098354369353366,0.7548569102821542
26,15038,0.400961840804302,0.6219920767961155
27,3616,0.1660829619605387,0.32791096891918053
28,2676,0.1670368883929839,0.3318938589840028
29,12682,0.9112517585767688,0.8572832808240834
30,2948,0.4104723055265782,0.624965297432313
31,11790,0.2281315997145034,0.3769086419334848
32,14954,0.241665063498535,0.4750756466126331
33,6367,0.5089719929526475,0.7130268234953169
34,9997,0.6806264796843006,0.8101727115834633
35,8485,0.341976579937078,0.5917520503119575
36,14778,0.4228073954774404,0.6939365523741594
37,14041,0.1701771578017942,0.2864462815116333
38,6529,0.6036342155269725,0.6210901083085819
39,11518,0.1842703646233682,0.6246214480451764
40,12227,0.5520932320741095,0.6422448477076613
41,2861,0.2911604999686695,0.4203695372982673
42,6339,0.4537516902644155,0.9165869082167424
43,7584,0.4160852030072942,0.7270474351515263
44,2932,0.5691185608587098,0.5786443186341195
45,9862,0.1790116623688161,0.18891684899111025
46,4375,0.4650523607247027,0.4778936556292614
47,11930,0.2371011197946401,0.35838305689518957
48,11281,0.2582616521444688,0.4356497813414354
49,6333,0.3950189814992084,0.8272310998916433
50,12959,0.6961883911918044,0.6543644538453647
51,14102,0.7020339133662645,0.6656143104265866
52,3635,0.5140163984468341,0.5174829769795427
53,2684,0.4661967500705744,0.7298188897196585
54,10797,0.1964843599234373,0.39901366191723914
55,1213,0.2437325771463232,0.2564308618830345
56,4671,0.4298108832231986,0.6524588296461674
57,11113,0.7704627763646202,0.8392968274385163
58,4139,0.3058954691100837,0.48928357474158146
59,736,0.5191706134298522,0.6655487165824842
60,15553,0.5006622281623502,0.5631853788121547
61,9595,0.33207094188863,0.44933426430391843
62,1261,0.2107408320536989,0.41209315199119767
63,1889,0.3371181436898778,0.4001781094498441
64,6594,0.4788466904310721,0.615869418601582
65,11570,0.6170277907760012,0.7301473897383727
66,9234,0.9175223268198748,0.6471624891879005
67,4762,0.6753134997445945,0.7626283125667069
68,16027,0.3681408346472518,0.2651126632295845
69,5550,0.4134716570181723,0.6835826401242544
70,13525,0.3976943059147509,0.468501917696812
71,88,0.5614302891092927,0.6316143475923912
72,13853,0.6222112780386377,0.662951284529973
73,11032,0.2064715071084972,0.3399856405775774
74,4772,0.1873050658296961,0.2866131245541787
75,14666,0.3304129003332302,0.3715359938349118
76,14796,0.2139442988839751,0.29136374067491144
77,11266,0.188067050308766,0.40742398333719954
78,11226,0.2161496254845923,0.33112608815049377
79,12524,0.4738811434381736,0.5732156196502366
80,720,0.4302940448482079,0.6282259936991181
81,15927,0.3642301843283994,0.3797485891967073
82,15990,0.6613350029278552,0.7550783881861381
83,5958,0.1912901740835994,0.33626749816776363
84,10522,0.2306875473354311,0.35204763931708943
85,6872,0.5143124381874432,0.5315528803891958
86,16072,0.1542362974355651,0.3769086419334848
87,13096,0.4939071828540128,0.6962280154095488
88,10251,0.1661583980049737,0.27830965534420243
89,123,0.4053715413941635,0.5624027933738608
90,3369,0.491064524268806,0.6908343721183607
91,2626,0.4900557597552727,0.5993783711512932
92,1748,0.508383897253081,0.8612244431958868
93,5613,0.4238472640771438,0.6111406020132433
94,8299,0.6183465961149783,0.6521438568907626
95,10356,0.5525488386079974,0.5794841489881366
96,6415,0.4215550751082998,0.7420096414095114
97,2087,0.5129835840741935,0.8047700053302899
98,5228,0.520228285481696,0.7259111327210407
99,2589,0.980020875493108,0.8132914850159962
100,8019,0.3499763312389266,0.479085830689741
101,11321,0.4941491475735768,0.6630613104317734
102,11076,0.217444432663137,0.25781431361118995
103,9481,0.2988513872017214,0.5631124909601402
104,6037,0.2135865749241486,0.2752070395537981
105,4074,0.1944496682119594,0.276952579850103
106,6866,0.3832961612319782,0.6205402640557766
107,4193,0.4555152520427514,0.8594925890568188
108,11468,0.4943786964901965,0.7581903686672541
109,3842,0.2073674194745402,0.4296551084845305
110,6436,0.1497260600353851,0.2527909718402387
111,10884,0.2428156494635923,0.42994399446112286
112,2189,0.4861158214391498,0.6578246341671178
113,15170,0.7419845587867255,0.7613127166482082
114,2453,0.4020841339053497,0.466645403129359
115,11784,0.4197436072150154,0.687953720377232
116,9612,0.4380211161042124,0.40841513385849654
117,13119,0.2041162970206709,0.2168584094942334
118,6630,0.4075234108253256,0.5439603547273586
119,7709,0.444571437510511,0.7590144810001231
120,11087,0.49561343220144,0.6861484736171609
121,2145,0.2997606431035922,0.7162627770620917
